ID,Pikachu,Raichu
1,68.67730946288339,367.9339775764522
2,109.18216621110412,294.86061363285023
3,58.218569379497644,319.3835805779685
4,179.76404010688958,297.30974797085474
5,116.47538859076803,231.14702215856965
6,58.976580794099235,279.250271835016
7,124.37145262142427,280.2855023144825
8,136.91623525646088,297.0343301644407
9,128.78906758267462,355.00126859919413
10,84.7305806421822,338.1587874228772
11,175.5890584225424,291.77382018732067
12,119.49216182057155,287.3319159931746
13,68.93797097290981,334.84816877023684
14,-10.734994358875,327.83315993368285
15,156.2465459071554,265.562215272524
16,97.753319549238455,264.62524215189404
17,99.19048684505269,318.2290981068415
18,147.19181053426496,338.4266462257708
19,141.06105975490442,294.3826893924886
20,129.69506606087543,344.0553863227107
21,145.9488685804109,319.9052940183534
22,139.10681503655337,269.3986803374614
23,103.72824916825952,317.05598457122125
24,0.5324152068313595,243.5318451959604
25,130.9912873947355,371.65118508505185
26,97.19356302354996,399.01999492529296
27,92.21022466473353,281.63892617667454
28,26.462380805036275,247.79326868417346
29,76.09249724456899,328.48598137212065
30,120.89707800998512,293.2472698059588
